alpha,beta,benchmark,baseline_rho,retrofitted_rho,delta,time_sec
0.1,inv_degree,rg65,0.7662,0.8103,0.0441,4.3
0.1,inv_degree,simlex999,0.3705,0.4197,0.0492,4.3
0.1,inv_degree,wordsim353,0.5433,0.4365,-0.1068,4.3
0.2,inv_degree,rg65,0.7662,0.8451,0.0789,4.5
0.2,inv_degree,simlex999,0.3705,0.4654,0.0949,4.5
0.2,inv_degree,wordsim353,0.5433,0.553,0.0097,4.5
0.3,inv_degree,rg65,0.7662,0.8594,0.0932,4.6
0.3,inv_degree,simlex999,0.3705,0.477,0.1065,4.6
0.3,inv_degree,wordsim353,0.5433,0.5894,0.0461,4.6
0.4,inv_degree,rg65,0.7662,0.8557,0.0895,4.7
0.4,inv_degree,simlex999,0.3705,0.4796,0.1091,4.7
0.4,inv_degree,wordsim353,0.5433,0.6022,0.0589,4.7
0.5,inv_degree,rg65,0.7662,0.8562,0.09,4.3
0.5,inv_degree,simlex999,0.3705,0.4776,0.1071,4.3
0.5,inv_degree,wordsim353,0.5433,0.6077,0.0644,4.3
0.6,inv_degree,rg65,0.7662,0.854,0.0878,4.3
0.6,inv_degree,simlex999,0.3705,0.475,0.1045,4.3
0.6,inv_degree,wordsim353,0.5433,0.6088,0.0655,4.3
0.7,inv_degree,rg65,0.7662,0.8492,0.083,4.4
0.7,inv_degree,simlex999,0.3705,0.4717,0.1012,4.4
0.7,inv_degree,wordsim353,0.5433,0.6086,0.0653,4.4
0.8,inv_degree,rg65,0.7662,0.8479,0.0817,4.4
0.8,inv_degree,simlex999,0.3705,0.4683,0.0978,4.4
0.8,inv_degree,wordsim353,0.5433,0.6086,0.0653,4.4
0.9,inv_degree,rg65,0.7662,0.8475,0.0813,4.5
0.9,inv_degree,simlex999,0.3705,0.4644,0.0939,4.5
0.9,inv_degree,wordsim353,0.5433,0.6078,0.0645,4.5
1.0,inv_degree,rg65,0.7662,0.8433,0.0771,4.2
1.0,inv_degree,simlex999,0.3705,0.461,0.0905,4.2
1.0,inv_degree,wordsim353,0.5433,0.6064,0.0631,4.2
