alpha,beta,benchmark,baseline_rho,retrofitted_rho,delta,time_sec
1.0,0.1,rg65,0.7662,0.8518,0.0856,4.1
1.0,0.1,simlex999,0.3705,0.4621,0.0916,4.1
1.0,0.1,wordsim353,0.5433,0.5964,0.0531,4.1
1.0,0.2,rg65,0.7662,0.8683,0.1021,4.4
1.0,0.2,simlex999,0.3705,0.4401,0.0696,4.4
1.0,0.2,wordsim353,0.5433,0.5587,0.0154,4.4
1.0,0.3,rg65,0.7662,0.8587,0.0925,4.1
1.0,0.3,simlex999,0.3705,0.4128,0.0423,4.1
1.0,0.3,wordsim353,0.5433,0.5067,-0.0366,4.1
1.0,0.4,rg65,0.7662,0.8477,0.0815,4.0
1.0,0.4,simlex999,0.3705,0.3879,0.0174,4.0
1.0,0.4,wordsim353,0.5433,0.457,-0.0863,4.0
1.0,0.5,rg65,0.7662,0.8303,0.0641,3.9
1.0,0.5,simlex999,0.3705,0.3662,-0.0043,3.9
1.0,0.5,wordsim353,0.5433,0.4113,-0.132,3.9
1.0,0.6,rg65,0.7662,0.8238,0.0576,4.0
1.0,0.6,simlex999,0.3705,0.3487,-0.0218,4.0
1.0,0.6,wordsim353,0.5433,0.3774,-0.1659,4.0
1.0,0.7,rg65,0.7662,0.8107,0.0445,4.1
1.0,0.7,simlex999,0.3705,0.334,-0.0365,4.1
1.0,0.7,wordsim353,0.5433,0.349,-0.1943,4.1
1.0,0.8,rg65,0.7662,0.7997,0.0335,3.8
1.0,0.8,simlex999,0.3705,0.3218,-0.0487,3.8
1.0,0.8,wordsim353,0.5433,0.3255,-0.2178,3.8
1.0,0.9,rg65,0.7662,0.7898,0.0236,4.1
1.0,0.9,simlex999,0.3705,0.311,-0.0595,4.1
1.0,0.9,wordsim353,0.5433,0.3058,-0.2375,4.1
1.0,1.0,rg65,0.7662,0.7826,0.0164,3.9
1.0,1.0,simlex999,0.3705,0.3023,-0.0682,3.9
1.0,1.0,wordsim353,0.5433,0.2881,-0.2552,3.9
