alpha,beta,benchmark,baseline_rho,retrofitted_rho,delta,time_sec
0.1,0.1,rg65,0.7662,0.7826,0.0164,5.0
0.1,0.1,simlex999,0.3705,0.3023,-0.0682,5.0
0.1,0.1,wordsim353,0.5433,0.2881,-0.2552,5.0
0.1,0.2,rg65,0.7662,0.7052,-0.061,4.7
0.1,0.2,simlex999,0.3705,0.2557,-0.1148,4.7
0.1,0.2,wordsim353,0.5433,0.189,-0.3543,4.7
0.1,0.3,rg65,0.7662,0.6683,-0.0979,4.3
0.1,0.3,simlex999,0.3705,0.2371,-0.1334,4.3
0.1,0.3,wordsim353,0.5433,0.1446,-0.3987,4.3
0.1,0.4,rg65,0.7662,0.6547,-0.1115,4.4
0.1,0.4,simlex999,0.3705,0.2267,-0.1438,4.4
0.1,0.4,wordsim353,0.5433,0.1215,-0.4218,4.4
0.1,0.5,rg65,0.7662,0.6363,-0.1299,4.4
0.1,0.5,simlex999,0.3705,0.2203,-0.1502,4.4
0.1,0.5,wordsim353,0.5433,0.1061,-0.4372,4.4
0.1,0.6,rg65,0.7662,0.6296,-0.1366,4.4
0.1,0.6,simlex999,0.3705,0.2162,-0.1543,4.4
0.1,0.6,wordsim353,0.5433,0.0961,-0.4472,4.4
0.1,0.7,rg65,0.7662,0.6299,-0.1363,4.4
0.1,0.7,simlex999,0.3705,0.2137,-0.1568,4.4
0.1,0.7,wordsim353,0.5433,0.0864,-0.4569,4.4
0.1,0.8,rg65,0.7662,0.6262,-0.14,4.3
0.1,0.8,simlex999,0.3705,0.2121,-0.1584,4.3
0.1,0.8,wordsim353,0.5433,0.0801,-0.4632,4.3
0.1,0.9,rg65,0.7662,0.6234,-0.1428,4.4
0.1,0.9,simlex999,0.3705,0.2107,-0.1598,4.4
0.1,0.9,wordsim353,0.5433,0.0753,-0.468,4.4
0.1,1.0,rg65,0.7662,0.6208,-0.1454,4.3
0.1,1.0,simlex999,0.3705,0.2095,-0.161,4.3
0.1,1.0,wordsim353,0.5433,0.0701,-0.4732,4.3
0.2,0.1,rg65,0.7662,0.8303,0.0641,4.4
0.2,0.1,simlex999,0.3705,0.3662,-0.0043,4.4
0.2,0.1,wordsim353,0.5433,0.4113,-0.132,4.4
0.2,0.2,rg65,0.7662,0.7826,0.0164,4.2
0.2,0.2,simlex999,0.3705,0.3023,-0.0682,4.2
0.2,0.2,wordsim353,0.5433,0.2881,-0.2552,4.2
0.2,0.3,rg65,0.7662,0.7414,-0.0248,4.2
0.2,0.3,simlex999,0.3705,0.2722,-0.0983,4.2
0.2,0.3,wordsim353,0.5433,0.2278,-0.3155,4.2
0.2,0.4,rg65,0.7662,0.7052,-0.061,4.6
0.2,0.4,simlex999,0.3705,0.2557,-0.1148,4.6
0.2,0.4,wordsim353,0.5433,0.189,-0.3543,4.6
0.2,0.5,rg65,0.7662,0.678,-0.0882,4.3
0.2,0.5,simlex999,0.3705,0.2445,-0.126,4.3
0.2,0.5,wordsim353,0.5433,0.1637,-0.3796,4.3
0.2,0.6,rg65,0.7662,0.6683,-0.0979,4.3
0.2,0.6,simlex999,0.3705,0.2371,-0.1334,4.3
0.2,0.6,wordsim353,0.5433,0.1446,-0.3987,4.3
0.2,0.7,rg65,0.7662,0.6628,-0.1034,4.2
0.2,0.7,simlex999,0.3705,0.2313,-0.1392,4.2
0.2,0.7,wordsim353,0.5433,0.1327,-0.4106,4.2
0.2,0.8,rg65,0.7662,0.6547,-0.1115,4.6
0.2,0.8,simlex999,0.3705,0.2267,-0.1438,4.6
0.2,0.8,wordsim353,0.5433,0.1215,-0.4218,4.6
0.2,0.9,rg65,0.7662,0.6408,-0.1254,4.3
0.2,0.9,simlex999,0.3705,0.2235,-0.147,4.3
0.2,0.9,wordsim353,0.5433,0.1127,-0.4306,4.3
0.2,1.0,rg65,0.7662,0.6363,-0.1299,4.5
0.2,1.0,simlex999,0.3705,0.2203,-0.1502,4.5
0.2,1.0,wordsim353,0.5433,0.1061,-0.4372,4.5
0.3,0.1,rg65,0.7662,0.8493,0.0831,4.5
0.3,0.1,simlex999,0.3705,0.404,0.0335,4.5
0.3,0.1,wordsim353,0.5433,0.4898,-0.0535,4.5
0.3,0.2,rg65,0.7662,0.8127,0.0465,4.3
0.3,0.2,simlex999,0.3705,0.3384,-0.0321,4.3
0.3,0.2,wordsim353,0.5433,0.3567,-0.1866,4.3
0.3,0.3,rg65,0.7662,0.7826,0.0164,4.2
0.3,0.3,simlex999,0.3705,0.3023,-0.0682,4.2
0.3,0.3,wordsim353,0.5433,0.2881,-0.2552,4.2
0.3,0.4,rg65,0.7662,0.7525,-0.0137,4.1
0.3,0.4,simlex999,0.3705,0.2798,-0.0907,4.1
0.3,0.4,wordsim353,0.5433,0.2453,-0.298,4.1
0.3,0.5,rg65,0.7662,0.7242,-0.042,4.2
0.3,0.5,simlex999,0.3705,0.2658,-0.1047,4.2
0.3,0.5,wordsim353,0.5433,0.2111,-0.3322,4.2
0.3,0.6,rg65,0.7662,0.7052,-0.061,4.4
0.3,0.6,simlex999,0.3705,0.2557,-0.1148,4.4
0.3,0.6,wordsim353,0.5433,0.189,-0.3543,4.4
0.3,0.7,rg65,0.7662,0.6967,-0.0695,4.3
0.3,0.7,simlex999,0.3705,0.2478,-0.1227,4.3
0.3,0.7,wordsim353,0.5433,0.1723,-0.371,4.3
0.3,0.8,rg65,0.7662,0.6758,-0.0904,4.4
0.3,0.8,simlex999,0.3705,0.2418,-0.1287,4.4
0.3,0.8,wordsim353,0.5433,0.1559,-0.3874,4.4
0.3,0.9,rg65,0.7662,0.6683,-0.0979,4.2
0.3,0.9,simlex999,0.3705,0.2371,-0.1334,4.2
0.3,0.9,wordsim353,0.5433,0.1446,-0.3987,4.2
0.3,1.0,rg65,0.7662,0.667,-0.0992,4.1
0.3,1.0,simlex999,0.3705,0.233,-0.1375,4.1
0.3,1.0,wordsim353,0.5433,0.1367,-0.4066,4.1
0.4,0.1,rg65,0.7662,0.8611,0.0949,4.1
0.4,0.1,simlex999,0.3705,0.4258,0.0553,4.1
0.4,0.1,wordsim353,0.5433,0.5333,-0.01,4.1
0.4,0.2,rg65,0.7662,0.8303,0.0641,4.4
0.4,0.2,simlex999,0.3705,0.3662,-0.0043,4.4
0.4,0.2,wordsim353,0.5433,0.4113,-0.132,4.4
0.4,0.3,rg65,0.7662,0.8029,0.0367,4.3
0.4,0.3,simlex999,0.3705,0.3276,-0.0429,4.3
0.4,0.3,wordsim353,0.5433,0.3366,-0.2067,4.3
0.4,0.4,rg65,0.7662,0.7826,0.0164,4.3
0.4,0.4,simlex999,0.3705,0.3023,-0.0682,4.3
0.4,0.4,wordsim353,0.5433,0.2881,-0.2552,4.3
0.4,0.5,rg65,0.7662,0.7614,-0.0048,4.2
0.4,0.5,simlex999,0.3705,0.2845,-0.086,4.2
0.4,0.5,wordsim353,0.5433,0.2535,-0.2898,4.2
0.4,0.6,rg65,0.7662,0.7414,-0.0248,4.3
0.4,0.6,simlex999,0.3705,0.2722,-0.0983,4.3
0.4,0.6,wordsim353,0.5433,0.2278,-0.3155,4.3
0.4,0.7,rg65,0.7662,0.7187,-0.0475,4.1
0.4,0.7,simlex999,0.3705,0.2627,-0.1078,4.1
0.4,0.7,wordsim353,0.5433,0.2052,-0.3381,4.1
0.4,0.8,rg65,0.7662,0.7052,-0.061,4.5
0.4,0.8,simlex999,0.3705,0.2557,-0.1148,4.5
0.4,0.8,wordsim353,0.5433,0.189,-0.3543,4.5
0.4,0.9,rg65,0.7662,0.6988,-0.0674,4.3
0.4,0.9,simlex999,0.3705,0.2497,-0.1208,4.3
0.4,0.9,wordsim353,0.5433,0.1753,-0.368,4.3
0.4,1.0,rg65,0.7662,0.678,-0.0882,4.2
0.4,1.0,simlex999,0.3705,0.2445,-0.126,4.2
0.4,1.0,wordsim353,0.5433,0.1637,-0.3796,4.2
0.5,0.1,rg65,0.7662,0.8683,0.1021,4.3
0.5,0.1,simlex999,0.3705,0.4401,0.0696,4.3
0.5,0.1,wordsim353,0.5433,0.5587,0.0154,4.3
0.5,0.2,rg65,0.7662,0.8477,0.0815,4.2
0.5,0.2,simlex999,0.3705,0.3879,0.0174,4.2
0.5,0.2,wordsim353,0.5433,0.457,-0.0863,4.2
0.5,0.3,rg65,0.7662,0.8238,0.0576,4.5
0.5,0.3,simlex999,0.3705,0.3487,-0.0218,4.5
0.5,0.3,wordsim353,0.5433,0.3774,-0.1659,4.5
0.5,0.4,rg65,0.7662,0.7997,0.0335,4.2
0.5,0.4,simlex999,0.3705,0.3218,-0.0487,4.2
0.5,0.4,wordsim353,0.5433,0.3255,-0.2178,4.2
0.5,0.5,rg65,0.7662,0.7826,0.0164,4.5
0.5,0.5,simlex999,0.3705,0.3023,-0.0682,4.5
0.5,0.5,wordsim353,0.5433,0.2881,-0.2552,4.5
0.5,0.6,rg65,0.7662,0.7643,-0.0019,4.2
0.5,0.6,simlex999,0.3705,0.2873,-0.0832,4.2
0.5,0.6,wordsim353,0.5433,0.2606,-0.2827,4.2
0.5,0.7,rg65,0.7662,0.7459,-0.0203,4.3
0.5,0.7,simlex999,0.3705,0.2764,-0.0941,4.3
0.5,0.7,wordsim353,0.5433,0.2374,-0.3059,4.3
0.5,0.8,rg65,0.7662,0.7304,-0.0358,4.1
0.5,0.8,simlex999,0.3705,0.2684,-0.1021,4.1
0.5,0.8,wordsim353,0.5433,0.2173,-0.326,4.1
0.5,0.9,rg65,0.7662,0.7186,-0.0476,4.3
0.5,0.9,simlex999,0.3705,0.2613,-0.1092,4.3
0.5,0.9,wordsim353,0.5433,0.202,-0.3413,4.3
0.5,1.0,rg65,0.7662,0.7052,-0.061,4.4
0.5,1.0,simlex999,0.3705,0.2557,-0.1148,4.4
0.5,1.0,wordsim353,0.5433,0.189,-0.3543,4.4
0.6,0.1,rg65,0.7662,0.8679,0.1017,4.3
0.6,0.1,simlex999,0.3705,0.4493,0.0788,4.3
0.6,0.1,wordsim353,0.5433,0.5733,0.03,4.3
0.6,0.2,rg65,0.7662,0.8493,0.0831,4.2
0.6,0.2,simlex999,0.3705,0.404,0.0335,4.2
0.6,0.2,wordsim353,0.5433,0.4898,-0.0535,4.2
0.6,0.3,rg65,0.7662,0.8303,0.0641,4.4
0.6,0.3,simlex999,0.3705,0.3662,-0.0043,4.4
0.6,0.3,wordsim353,0.5433,0.4113,-0.132,4.4
0.6,0.4,rg65,0.7662,0.8127,0.0465,4.2
0.6,0.4,simlex999,0.3705,0.3384,-0.0321,4.2
0.6,0.4,wordsim353,0.5433,0.3567,-0.1866,4.2
0.6,0.5,rg65,0.7662,0.7931,0.0269,4.4
0.6,0.5,simlex999,0.3705,0.3179,-0.0526,4.4
0.6,0.5,wordsim353,0.5433,0.3184,-0.2249,4.4
0.6,0.6,rg65,0.7662,0.7826,0.0164,4.1
0.6,0.6,simlex999,0.3705,0.3023,-0.0682,4.1
0.6,0.6,wordsim353,0.5433,0.2881,-0.2552,4.1
0.6,0.7,rg65,0.7662,0.7649,-0.0013,4.4
0.6,0.7,simlex999,0.3705,0.2895,-0.081,4.4
0.6,0.7,wordsim353,0.5433,0.2648,-0.2785,4.4
0.6,0.8,rg65,0.7662,0.7525,-0.0137,4.4
0.6,0.8,simlex999,0.3705,0.2798,-0.0907,4.4
0.6,0.8,wordsim353,0.5433,0.2453,-0.298,4.4
0.6,0.9,rg65,0.7662,0.7414,-0.0248,4.4
0.6,0.9,simlex999,0.3705,0.2722,-0.0983,4.4
0.6,0.9,wordsim353,0.5433,0.2278,-0.3155,4.4
0.6,1.0,rg65,0.7662,0.7242,-0.042,4.1
0.6,1.0,simlex999,0.3705,0.2658,-0.1047,4.1
0.6,1.0,wordsim353,0.5433,0.2111,-0.3322,4.1
0.7,0.1,rg65,0.7662,0.8608,0.0946,4.1
0.7,0.1,simlex999,0.3705,0.455,0.0845,4.1
0.7,0.1,wordsim353,0.5433,0.5834,0.0401,4.1
0.7,0.2,rg65,0.7662,0.8584,0.0922,4.4
0.7,0.2,simlex999,0.3705,0.4161,0.0456,4.4
