word1,word2,cos_before,cos_after,delta
medicine,music,0.23594175279140472,0.18403060734272003,-0.05191114544868469
bone,study,0.20869992673397064,0.16248486936092377,-0.046215057373046875
room,surgery,0.2351754903793335,0.19323807954788208,-0.041937410831451416
jack,raise,0.10802537947893143,0.06637125462293625,-0.04165412485599518
punk,rock,0.6434007883071899,0.6047718524932861,-0.03862893581390381
jack,run,0.15413664281368256,0.11766494810581207,-0.03647169470787048
crook,staff,-0.013097673654556274,-0.04917720705270767,-0.0360795333981514
bush,provide,0.2527564465999603,0.21851609647274017,-0.034240350127220154
be,cox,0.1894930601119995,0.15573103725910187,-0.033762022852897644
driver,wood,0.10341768711805344,0.07064751535654068,-0.032770171761512756
line,painter,0.009851155802607536,-0.020175941288471222,-0.030027097091078758
confinement,solitary,0.6907758712768555,0.6626071333885193,-0.02816873788833618
champion,defend,0.3603622019290924,0.33307480812072754,-0.027287393808364868
deal,wood,0.11462307721376419,0.08766882121562958,-0.026954255998134613
consecutive,straight,0.7596899271011353,0.7335556745529175,-0.026134252548217773
