word1,word2,cos_before,cos_after,delta
ago,agone,-0.3240460455417633,0.6593603491783142,0.9834064245223999
last,lastly,-0.29332852363586426,0.5860641598701477,0.879392683506012
dominated,henpecked,-0.1237628310918808,0.7530921101570129,0.8768549561500549
maxwell,mx,-0.08869196474552155,0.7855218052864075,0.8742137551307678
katar,qatar,-0.11784474551677704,0.7549564838409424,0.8728012442588806
140,cxl,-0.08797500282526016,0.7825698852539062,0.8705449104309082
highborn,titled,-0.08928094804286957,0.7653900980949402,0.854671061038971
presumably,presumptively,0.027165643870830536,0.8796694874763489,0.8525038361549377
calibrated,graduated,-0.0730704739689827,0.7745760083198547,0.8476464748382568
far-flung,widespread,-0.06854614615440369,0.7746284604072571,0.8431745767593384
davis,davys,-0.06844453513622284,0.7743768095970154,0.8428213596343994
ellas,greece,-0.06813405454158783,0.7741645574569702,0.8422986268997192
cotan,cotangent,-0.058364346623420715,0.7822911739349365,0.840655505657196
alir,far,-0.22893156111240387,0.6092814207077026,0.8382129669189453
seeland,zealand,-0.05797584354877472,0.7790504097938538,0.8370262384414673
